user_id,RestaurantName,Label,Source,Score
,open,1,survey,67
,open,0,survey,67
118908225336.0,azurmendi,1,survey,59
118908225336.0,healdsburg,1,survey,44
118908225336.0,ca maximo,1,survey,53
118908225336.0,mexico city,1,survey,48
118908225336.0,basel switzerland,0,survey,55
118908225336.0,food was good,0,survey,44
118908225336.0,but experience took 2 hours longer than it should have at 5 hours,0,survey,32
118908225336.0,there were unusually large gaps between courses the restaurant did not own up to their failures,0,survey,33
118908225336.0,but nothing was all that special or innovative,0,survey,40
118906770082.0,chicago,1,survey,53
118906770082.0,chicago,0,survey,53
118905900529.0,lord stanley,0,survey,55
118905696456.0,kikunoi,1,survey,67
118905684111.0,makiyaki ginza onodera tokyo,1,survey,60
118905684111.0,mo jasmine beijing,1,survey,47
118905684111.0,xinrongji beijing,1,survey,48
118905684111.0,ryuzu tokyo,1,survey,50
118905684111.0,lature tokyo,0,survey,45
118905684111.0,fujin tree taipei,0,survey,44
118905684111.0,trois visages tokyo,0,survey,47
118905673387.0,guy savoy,1,survey,43
118905673387.0,mizai,1,survey,67
118905673387.0,sawada,1,survey,60
118905673387.0,linitial,1,survey,57
118905673387.0,hard to eat at times,0,survey,45
118905673387.0,service was downright rude server talked down to us the entire night,0,survey,29
118905673387.0,wouldnt take any of our requests,0,survey,45
118905673387.0,responded to our request to have the chef sign our menus with which chef do you mean,0,survey,29
118905672789.0,thevar,1,survey,60
118905672789.0,singapore beta,1,survey,54
118905672789.0,tokyo moonrise,1,survey,56
118905672789.0,dubai au jardin,1,survey,50
118905672789.0,penang,1,survey,50
118905672789.0,tresind studio,0,survey,50
118905672789.0,dubai 11 woodfire,0,survey,44
118905672789.0,dubai orfali bros,0,survey,52
118905672789.0,dubai,0,survey,55
118905493386.0,field,1,survey,60
118905493386.0,usa enotecca pinchiorri,1,survey,45
118905493386.0,italy hexagon,1,survey,55
118905493386.0,canada serrae villa fiesole,1,survey,42
118905493386.0,italy,1,survey,67
118905389207.0,but the food,0,survey,67
118905389207.0,at times,0,survey,53
118905389207.0,seemed to value creativity over flavor,0,survey,40
118905348824.0,carlsbad ca,1,survey,44
118905342502.0,usa samrubsamrub thai,1,survey,48
118905342502.0,much more corporate than anything,0,survey,42
118905319162.0,stubborn seed,1,survey,48
118905319162.0,antiqvvm,1,survey,50
118905319162.0,food was of course good,0,survey,42
118905319162.0,but i would say bottom 3 of michelin stars i have visited i know ambiance doesnt matter for michelin,0,survey,27
118905319162.0,but this restaurant was in a luxury shopping mall in miami,0,survey,45
118905319162.0,felt out of place kind of turned me off a little,0,survey,42
118905308461.0,hajime,1,survey,55
118905308461.0,japan kagurazaka ishikawa,1,survey,36
118905308461.0,tokyo,1,survey,50
118905308461.0,tokyo,1,survey,50
118905308461.0,san francisco,1,survey,56
118905308461.0,oakland,1,survey,62
118905308461.0,ca da vittorio,1,survey,58
118905308461.0,italy schloss schauenstein,1,survey,43
118905308461.0,switzerland larpege,1,survey,52
118905308461.0,paris,1,survey,67
118905308461.0,france kei,1,survey,60
118905308461.0,paris,1,survey,67
118905308461.0,san mateo,1,survey,62
118905308461.0,san diego,1,survey,50
118905308461.0,chicago,1,survey,53
118905308461.0,chicago,1,survey,53
118905308461.0,usa sushi arai,1,survey,64
118905308461.0,tokyo,1,survey,50
118905308461.0,japan yoshino,1,survey,58
118905308461.0,virginia,1,survey,62
118905308461.0,seoul,1,survey,55
118905308461.0,kyoto,1,survey,60
118905308461.0,japan septime,1,survey,50
118905308461.0,paris,1,survey,67
118905308461.0,elk,1,survey,75
118905308461.0,healdsburg,1,survey,44
118905308461.0,san francisco,1,survey,56
118905308461.0,usa pujol,1,survey,46
118905308461.0,cdmx,1,survey,40
118905308461.0,mexico rosetta,1,survey,52
118905308461.0,cdmx,1,survey,40
118905308461.0,mexico quintonil,1,survey,50
118905308461.0,cdmx,1,survey,40
118905308461.0,usa core,1,survey,62
118905308461.0,london,1,survey,67
118905308461.0,england hilda,1,survey,52
118905308461.0,jesse,1,survey,67
118905308461.0,san francisco,1,survey,56
118905308461.0,sacramento,1,survey,52
118905308461.0,tokyo,0,survey,50
118905308461.0,san francisco,0,survey,56
118905308461.0,usa kichisen,0,survey,61
118905308461.0,kyoto,0,survey,60
118905309199.0,zen,1,survey,57
118905308425.0,zen,1,survey,57
118905308425.0,new york,1,survey,46
118905308425.0,napa,0,survey,75
118905308323.0,st john,1,survey,73
118905308323.0,dinner by heston,1,survey,50
118905308323.0,helene darroze,1,survey,50
118905308323.0,restaurant gordon ramsay,1,survey,54
118905308323.0,the fat duck,1,survey,55
118905308323.0,jamavar,0,survey,55
118905301782.0,jordnaer,1,survey,60
118905301782.0,copenhagen,1,survey,50
118905301782.0,denmark noma,1,survey,55
118905301782.0,copenhagen,1,survey,50
118905301782.0,denmark geranium,1,survey,48
118905301782.0,copenhagen,1,survey,50
118905301782.0,denmark kadeau,1,survey,53
118905301782.0,copenhagen,1,survey,50
118905301782.0,denmark maaemo,1,survey,52
118905301782.0,olso,1,survey,60
118905301782.0,norway den,1,survey,52
118905301782.0,tokyo,1,survey,50
118905301782.0,los angeles,1,survey,60
118905301782.0,los angeles,1,survey,60
118905301782.0,los angeles,1,survey,60
118905301782.0,los angeles,1,survey,60
118905301782.0,usa kato,1,survey,62
118905301782.0,los angeles,1,survey,60
118905301782.0,san francisco,1,survey,56
118905301782.0,carmel,1,survey,62
118905301782.0,new york,1,survey,46
118905301782.0,new york,1,survey,46
118905301782.0,new york,1,survey,46
118905301782.0,new york,1,survey,46
118905301782.0,new york,1,survey,46
118905301782.0,healdsburg,1,survey,44
118905301782.0,san francisco,1,survey,56
118905301782.0,san francisco,1,survey,56
118905301782.0,san francisco,1,survey,56
118905301782.0,usa quintonil,1,survey,48
118905301782.0,cdmx,1,survey,40
118905301782.0,mexico rosetta,1,survey,52
118905301782.0,cdmx,1,survey,40
118905301782.0,mexico botrinis,1,survey,46
118905301782.0,athens,1,survey,55
118905301782.0,greece,1,survey,62
118905301782.0,hytra,0,survey,55
118905301782.0,athens,0,survey,55
118905301782.0,greece,0,survey,62
118905301782.0,san francisco,0,survey,56
118905301782.0,los angeles,0,survey,60
118905301782.0,not a pleasant experience,0,survey,41
118905304997.0,azurmendi,1,survey,59
118905304997.0,mugeritz spain,0,survey,50
118905304997.0,concepts were not profound enough to overcome the lack of taste,0,survey,36
118905305626.0,tokyo,1,survey,50
118905305626.0,paris,1,survey,67
118905302489.0,arzak,0,survey,60
6.0,mourad,1,colab,62
10.0,mister jius,1,colab,48
10.0,angler sf,1,colab,53
14.0,dauthers,1,colab,64
14.0,klin,1,colab,75
14.0,osito,1,colab,60
21.0,seline,1,colab,67
21.0,angler,1,colab,62
24.0,hilda,1,colab,60
24.0,jesse,1,colab,67
28.0,bar millere,1,colab,67
28.0,crown shy,1,colab,59
28.0,manhatta,1,colab,53
34.0,scalini fedeli,1,colab,52
37.0,atera,1,colab,73
42.0,la grenouille,1,colab,64
43.0,maison barnes,1,colab,63
46.0,soseki,1,colab,57
